2025-04-03 14:12:05,764 - INFO - System Monitor: Starting system monitoring...
2025-04-03 14:12:05,768 - INFO - CPU: Usage: 11.1%
2025-04-03 14:12:05,768 - INFO - Memory: Usage: 86.8%
2025-04-03 14:12:06,281 - INFO - Software: PID: 5288, Name: svchost.exe, Username: None
2025-04-03 14:12:06,290 - INFO - Software: PID: 5336, Name: jhi_service.exe, Username: None
2025-04-03 14:12:06,308 - INFO - Software: PID: 5364, Name: ipf_uf.exe, Username: None
2025-04-03 14:12:06,308 - INFO - Software: PID: 5388, Name: svchost.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,314 - INFO - Software: PID: 5424, Name: MpDefenderCoreService.exe, Username: None
2025-04-03 14:12:06,319 - INFO - Software: PID: 5444, Name: mfemms.exe, Username: None
2025-04-03 14:12:06,324 - INFO - Software: PID: 5512, Name: ModuleCoreService.exe, Username: None
2025-04-03 14:12:06,329 - INFO - Software: PID: 5592, Name: PEFService.exe, Username: None
2025-04-03 14:12:06,329 - INFO - Software: PID: 5608, Name: Code.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,332 - INFO - Software: PID: 5624, Name: RstMwService.exe, Username: None
2025-04-03 14:12:06,333 - INFO - Software: PID: 5668, Name: Code.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,338 - INFO - Software: PID: 5672, Name: sqlwriter.exe, Username: None
2025-04-03 14:12:06,343 - INFO - Software: PID: 5688, Name: RtkAudUService64.exe, Username: None
2025-04-03 14:12:06,348 - INFO - Software: PID: 5736, Name: UltraViewer_Service.exe, Username: None
2025-04-03 14:12:06,349 - INFO - Software: PID: 5744, Name: msedgewebview2.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,355 - INFO - Software: PID: 5760, Name: svchost.exe, Username: None
2025-04-03 14:12:06,361 - INFO - Software: PID: 5784, Name: svchost.exe, Username: None
2025-04-03 14:12:06,366 - INFO - Software: PID: 5828, Name: MsMpEng.exe, Username: None
2025-04-03 14:12:06,372 - INFO - Software: PID: 5840, Name: svchost.exe, Username: None
